System,Format,Type,Magnitude,Period,Time,Duration,Depth,Ratio
1039.01,20sec,PC,8.5483,4.421842184218422,2284.2100484987163,0.15,0.0051580991889208,1.0264005533144815
461867584.0,120sec, ,,4.421681006984587,2284.2096495039023,0.15,0.0052942758615593,
1072.01,20sec,PC,11.7106,12.83888388838884,2044.838955889952,0.33,0.0101925336390864,0.985718405302589
140830390.0,120sec, ,,12.840460778751144,2044.8345345968248,0.33,0.0100469680047132,
1077.01,20sec,PC,13.461,1.6077107710771077,2036.390360554612,0.05,0.0154887854495892,1.0339295573856977
369960846.0,120sec, ,,1.6063339682303064,2036.4009392508328,0.05,0.0160143130843357,
1107.01,20sec,PC,10.0068,4.078607860786079,2336.073295646837,0.2,0.0052665704537774,0.9506931938371568
394561119.0,120sec, ,,4.078967707751874,2336.0743373325986,0.2,0.00500689268527,
1252.01,20sec,PC,12.0623,1.913891389138914,2854.4741523362063,0.33,0.0191214499272236,1.047429913643499
233211762.0,120sec, ,,1.9167168291986711,2854.449731042201,0.33,0.0200283786460103,
1259.01,20sec,PC,11.1534,3.477947794779478,2883.125120582186,0.1,0.0212334473221766,1.0073278056355908
288735205.0,120sec, ,,3.477618733970607,2883.1256992926624,0.1,0.0213890418971271,
1296.01,20sec,PC,10.8041,3.9459945994599455,2826.1264297029948,0.2,0.0056246873206259,0.986628626965616
219854185.0,120sec, ,,3.9457396234672975,2826.127008406664,0.2,0.0055494775282601,
1478.01,20sec,PC,10.2042,10.182718271827182,2239.080781729924,0.15,0.0092817808131522,0.9986240998344728
409794137.0,120sec, ,,10.180943611912946,2239.0813604510663,0.15,0.009269010009395,
1518.01,20sec,PC,8.75127,1.902190219021902,2854.4166321537696,0.05,0.008551216811337,1.001467186191831
427761355.0,120sec, ,,1.9029336777062045,2854.412210871646,0.05,0.0085637630385659,
1528.01,20sec,PC,9.716,9.93894389438944,2885.2772408080677,0.1,0.0066465958239464,1.003250288586862
285543785.0,120sec, ,,9.93845622185981,2885.281523243507,0.1,0.0066681991784945,
170.01,20sec,PC,11.9692,3.711971197119712,2038.1249938576404,0.1,0.0100654605562575,1.0529865717752744
394698182.0,120sec, ,,3.711378563598934,2038.125572561196,0.1,0.0105987948044729,
171.01,20sec,PC,11.6626,1.410741074107411,2062.664537042711,0.33,0.0223280641614129,0.9135239058737352
309257814.0,120sec, ,,1.410285087914732,2062.675115735333,0.33,0.0203972203833333,
171.02,20sec,PC,11.6626,1.410741074107411,2062.664537042711,0.33,0.0223280641614129,0.9135239058737352
309257814.0,120sec, ,,1.410285087914732,2062.675115735333,0.33,0.0203972203833333,
1717.01,20sec,PC,9.52339,4.053255325532554,2941.7401469860647,0.1,0.0062259253569958,1.0241388790420576
149833117.0,120sec, ,,4.053066805330399,2941.74100443199,0.1,0.0063762122161132,
181.01,20sec,PC,10.4654,4.533003300330033,2092.309340855701,0.1,0.006636945496253,1.004409456291665
76923707.0,120sec, ,,4.532086376954527,2092.3099195647405,0.1,0.0066662108173288,
1937.01,20sec,PC,12.4933,0.9465946594659466,2964.4268510212496,0.05,0.0112311604966528,0.98356714942201
268301217.0,120sec, ,,0.9467442243774332,2964.4283556773075,0.05,0.0110466005143939,
1951.01,20sec,PC,9.8722,4.8294329432943295,3043.030501801253,0.1,0.0070079584572023,0.9917117176689292
356590734.0,120sec, ,,4.829502459696915,3043.031080523785,0.1,0.0069498745189446,
212.01,20sec,PC,12.5595,0.6696669666966697,2062.09782350911,0.05,0.0101133710871379,1.0444069271688798
206609630.0,120sec, ,,0.6708409364788864,2062.0684022293235,0.05,0.0105624748204363,
2195.01,20sec,PC,10.9916,4.162466246624662,3130.568077095013,0.05,0.0074153609811958,1.0129804998540437
24695044.0,120sec, ,,4.163697827928607,3130.563655813002,0.05,0.0075116160733299,
2202.01,20sec,PC,12.173,11.807230723072308,2089.5556336775426,0.15,0.0143672293439856,1.0688475361762024
358107516.0,120sec, ,,11.638252326582794,2089.551212377152,0.15,0.0153563776859974,
2328.01,20sec,PC,11.584,17.55835583558356,2373.7024716651863,0.1,0.0100441009227023,0.996748307552551
394287035.0,120sec, ,,21.399487248454815,2373.7030503841097,0.1,0.0100114405955905,
2373.01,20sec,PC,12.5882,13.343984398439844,2155.1633709903945,0.15,0.0094782180241716,0.9712749882525396
332558858.0,120sec, ,,13.344748673787272,2155.163949717591,0.15,0.0092059561000823,
2387.01,20sec,PC,11.8933,5.662166216621662,3155.6670686069533,0.05,0.0063018109753138,0.971664692947552
237885040.0,120sec, ,,5.659359050216453,3155.6692677319284,0.05,0.0061232472263418,
2416.01,20sec,PC,12.4333,8.277377737773778,2096.00555654301,0.15,0.0064404371306127,1.0472886888177508
237922465.0,120sec, ,,8.272435884452532,2096.011135256822,0.15,0.0067449969579325,
318.01,20sec,PC,13.2316,3.7470747074707473,2065.369225431188,0.05,0.01794538760392,1.0122478117934033
206352378.0,120sec, ,,3.745768501242563,2065.3748041493054,0.05,0.0181651793338525,
327.01,20sec,PC,13.4573,10.052055205520553,2066.8252307907865,0.1,0.0092602218952508,1.0598105942387648
206669860.0,120sec, ,,10.05251510749635,2066.8258095147244,0.1,0.0098140812695886,
376.01,20sec,PC,12.4502,2.7505250525052505,2062.4545568027925,0.05,0.0105188886015914,1.0005438656140542
144301273.0,120sec, ,,2.7507514252775414,2062.4501355276616,0.05,0.0105246094633999,
476.01,20sec,PC,8.8742,3.0625562556255628,2964.616404656961,0.15,0.0053770121856806,1.05487021281433
156987351.0,120sec, ,,3.062996623694773,2964.611890599814,0.15,0.0056720499886141,
507.01,20sec,PC,13.2304,0.8997899789978999,2964.517242027174,0.05,0.0302310697616399,1.0105859379792106
348538431.0,120sec, ,,0.8995618283700559,2964.522126284625,0.05,0.0305510939911818,
515.01,20sec,PC,13.7988,3.1132613261326134,2231.5215851799658,0.1,0.0173890722085684,1.1146638424990176
366622912.0,120sec, ,,3.115200786505293,2231.5142012424826,0.1,0.0193829700454958,
573.01,20sec,PC,12.519,13.578007800780078,2990.985163423161,0.05,0.1130884812745258,1.0055011337367812
296780789.0,120sec, ,,13.575787979337989,2990.986436582837,0.05,0.1137105961341064,
681.01,20sec,PC,10.6845,15.204470447044706,2051.3925533310558,0.1,0.005699279752574,0.8797701151580769
410450228.0,120sec, ,,20.495499842513507,2051.3881320239,0.1,0.0050140560042401,
738.01,20sec,PC,12.7474,3.440894089408941,2039.7022464808615,0.1,0.0070471349509157,1.012201869578461
260304800.0,120sec, ,,3.440201873472676,2039.7078251859305,0.1,0.0071331231724886,
841.01,20sec,PC,12.5528,3.493549354935493,2064.0141629377563,0.05,0.0110108685248756,1.0413995946436525
238932509.0,120sec, ,,3.4923917684297683,2064.019741649238,0.05,0.01146671401848,
842.01,20sec,PC,12.6264,2.787578757875788,2037.7238416871503,0.05,0.0103448027658366,0.9961355242634052
141768070.0,120sec, ,,2.7863582487861747,2037.7294203894253,0.05,0.0103048255265481,
924.01,20sec,PC,11.3593,12.12901290129013,2045.8773208436517,0.05,0.0166891274154837,0.9289181790913832
382068562.0,120sec, ,,12.129343852477056,2045.877899557102,0.05,0.0155028338494152,
934.01,20sec,PC,12.708,3.7821782178217824,2037.2874478239548,0.1,0.0139922006294794,1.007075145705106
220475245.0,120sec, ,,3.7812142600398655,2037.2930265394427,0.1,0.014091197487668,
101.01,20sec,KP,12.4069,1.4302430243024302,2036.902555015388,0.05,0.0177638582333477,1.0064684651889515
231663901.0,120sec, ,,1.4298884883987948,2036.9081337318653,0.05,0.0178787631319516,
