toi,tid,type,Period,Mag,st_rad
1054.01,366989877,CP,15.5077301,8.4362,1.17092
1073.01,158297421,CP,3.9228016,13.6699,0.6983
1078.01,370133522,CP,0.5182385,10.1165,0.390989
1098.01,383390264,CP,10.1826982,8.7581,1.14582
1130.01,254113311,CP,8.34998,10.1429,0.74
1130.02,254113311,CP,4.06719,10.1429,0.69
118.01,266980320,CP,6.0344569,9.179,1.05168
120.01,394137592,CP,11.535076,7.1062,2.48771
1203.01,23434737,CP,25.5195307,7.9995,1.17321
122.01,231702397,CP,5.0780255,13.084,0.334125
123.01,290131778,CP,3.3088773,7.87598,2.62392
1230.01,287156968,CP,25.056686,9.6245,1.15281
1233.01,260647166,CP,14.1758947,8.6522,0.864173
1233.02,260647166,CP,19.5901578,8.6522,0.864173
1233.03,260647166,CP,6.2036219,8.6522,0.864173
1233.04,260647166,CP,3.79589,8.6522,0.864173
1235.01,103633434,CP,3.4446812,9.91924,0.63
1239.01,154716798,CP,12.6396982,10.7192,0.789425
125.01,52368076,CP,4.6517906,10.1985,0.852266
125.02,52368076,CP,9.1546621,10.1985,0.852266
125.03,52368076,CP,19.9812509,10.1985,0.852266
1266.01,467179528,CP,10.8948421,11.0402,0.435666
1266.02,467179528,CP,18.8016111,11.0402,0.435666
127.01,234523599,CP,3.7955178,14.1266,0.445372
129.01,201248411,CP,0.9809807,9.9005,0.764401
130.01,263003176,CP,14.3392065,7.4371,1.1374201
132.01,89020549,CP,2.1096849,10.8061,0.940806
1338.01,260128333,CP,95.2,11.4881,1.51811
1339.01,269701147,CP,8.8803059,8.2929,0.92
1339.02,269701147,CP,28.5800894,8.2929,0.92
1339.03,269701147,CP,38.3522501,8.2929,0.92
134.01,234994474,CP,1.4015245,9.22978,0.597007
135.01,267263253,CP,4.12691,9.2205,1.59
136.01,410153553,CP,0.4628844,11.9238,0.188624
1406.01,231736113,CP,10.5739824,11.4266,1.27
141.01,403224672,CP,1.0082266,7.384,1.13187
1417.01,164173105,CP,3.0726434,8.51017,1.55831
144.01,261136679,CP,6.267832,5.1054,1.15
1456.01,199376584,CP,18.711674,8.0417,1.27
1462.01,188768068,CP,2.1779465,5.8961,1.26
148.01,393940766,CP,4.86709,11.7835,1.15
1493.01,15692883,CP,5.14124,9.7116,2.9
1494.01,411608801,CP,5.0267996,10.3002,1.4782799
150.01,271893367,CP,5.8574075,10.9031,1.67987
157.01,140691463,CP,2.0845398,12.0166,1.11
163.01,179317684,CP,4.2311153,10.8719,1.6640199
169.01,183120439,CP,2.2554459,11.788,1.29661
1690.01,267574918,CP,1.4079369,16.338,
172.01,29857954,CP,9.47686,10.7379,1.79
1726.01,130181866,CP,7.1079112,6.2683,0.902932
1726.02,130181866,CP,20.5438153,6.2683,0.902932
1728.01,285048486,CP,3.4913952,10.7921,0.63
174.01,425997655,CP,17.6671331,8.7513,0.691374
174.02,425997655,CP,29.7976205,8.7513,0.691374
175.01,307210830,CP,3.6906795,9.41242,0.31
175.02,307210830,CP,7.4507305,9.41242,0.31
175.03,307210830,CP,2.2531134,9.41242,0.31
1774.01,4897275,CP,16.7100422,7.6474,1.09271
