TOI,TIC,Magnitude,20 Period,120 Period,20 Depth,120 Depth,20 Std,120 Std,20 M/B Std,120 M Std,Ratio
139.01,62483237,9.3636,8.967067078748078 d,12.577707170597035 d,0.001665575,0.002064147,0.001999841,0.001450429,0.001315292,0.001422059,1.0811736101185137
155.01,129637892,9.0284,5.448544944512455 d,5.448891228759841 d,0.001030404,0.001006671,0.001361626,0.000641489,0.000561286,0.000605462,1.0787049739348566
161.01,348770361,11.4964,2.7689769877167745 d,2.769925537429235 d,0.002659747,0.00279178,0.00559234,0.002269572,0.002274043,0.002134592,0.938677061075802
166.01,147203645,10.7258,5.063756405646566 d,5.063669560778461 d,0.004041371,0.003917436,0.00331055,0.001505607,0.001383141,0.001444681,1.0444929331138328
170.01,394698182,11.9692,3.7122712571317145 d,3.7122787436349416 d,0.010085814,0.0107180255436611,0.007851552,0.003413377,0.003156375,0.002876243,0.9112488218288385
181.01,76923707,10.4654,4.53270324031803 d,4.531786316942524 d,0.006658002,0.006036014,0.003729517,0.001735563,0.00229745,0.001473101,0.6411895797514636
201.02,350618622,8.5822,6.263426792769294 d,3.404472115417369 d,0.00030789,0.000205996,0.001089429,0.000498337,0.00048668,0.000492732,1.01243527574587
205.01,281575427,9.4525,3.2293407618316543 d,4.531529528227878 d,0.00016353,0.000153466,0.001699889,0.00074828,0.000704866,0.000744501,1.0562305459477404
210.01,141608198,12.5395,12.271266295543448 d,8.991897119297846 d,0.003407052,0.002947487,0.01101993,0.004496909,0.004512905,0.004488369,0.9945631472410785
220.01,150098860,9.6878,10.683018992037232 d,10.683448887621973 d,0.000840734,0.000660401,0.002055075,0.000852649,0.000850638,0.000850734,1.0001128564677335
233.01,415969908,11.3018,11.671017131719173 d,11.677808074941927 d,0.002151835,0.001970018,0.005272511,0.002176822,0.002175502,0.002170634,0.9977623555390892
235.01,280095254,9.4688,10.098110321134135 d,10.0920600910466 d,0.001608408,0.002398785,0.00152541,0.000689917,0.000628629,0.000672192,1.0692984256214715
283.01,382626661,9.6768,10.468552600819635 d,17.620611851143106 d,0.000446127,0.000701391,0.002043101,0.000870584,0.000859502,0.000867168,1.0089191182801203
318.01,206352378,13.2316,3.74617452743474 d,3.7460685612545657 d,0.0180946770721719,0.018109556,0.016674468,0.007464427,0.006857869,0.007159778,1.0440237339033454
327.01,206669860,13.4573,10.052355265532555 d,10.051614927460342 d,0.009292509,0.009814081,0.020723812,0.008638917,0.008600312,0.008575418,0.9971054538486509
328.01,139357541,12.7703,4.475697299675957 d,4.3804467530551445 d,0.003645576,0.004526854,0.013484756,0.005948808,0.005779361,0.005852735,1.0126958672420705
376.01,144301273,12.4502,2.750825112517253 d,2.751051485289544 d,0.0106339114995736,0.0105323212196597,0.012161558,0.005162921,0.004997107,0.004937231,0.988017867137926
476.01,156987351,8.8742,3.0634564356615694 d,3.0626965636827705 d,0.005382912,0.00568944,0.002918541,0.002723359,0.002335698,0.002424448,1.0379972068306775
515.01,366622912,13.7988,3.114161506168621 d,3.1161009665412998 d,0.0174684714079579,0.0190259151380603,0.029494645,0.012298828,0.0125579141670659,0.011691339,0.9309937020163301
533.01,309791156,10.9621,19.581308580948118 d,19.548133795998808 d,0.00151557,0.00158895,0.003928267,0.00171163,0.001615291,0.001701208,1.053189796761079
554.01,407966340,6.4386,7.04860543065709 d,7.052794328430763 d,0.000235011,0.000294088,0.000385006,0.000231058,0.000169877,0.000227297,1.338009265527411
560.01,101011575,8.5925,4.000749939989499 d,6.8996445553737225 d,0.000965592,0.001139342,0.001332834,0.000887778,0.000807287,0.000843047,1.0442965141269462
573.01,296780789,12.519,13.57710762074407 d,13.572487319205962 d,0.1131770052885649,0.1133251655843844,0.014424563,0.010275379,0.005610571,0.005234895,0.933041396321337
601.01,141363913,9.9223,3.4776477347674755 d,3.4779187939826097 d,0.001029631,0.000986418,0.00232698,0.001019433,0.000975886,0.001002445,1.0272152689965837
616.01,145879095,9.9794,2.806030693087312 d,2.804775617066655 d,0.002762978,0.002449442,0.002543079,0.00116062,0.001125347,0.001053343,0.9360161798982891
622.01,83092282,8.5615,6.402940264020401 d,6.403281777313645 d,0.003390199,0.003616157,0.00136369,0.000802201,0.00056102,0.000565002,1.0070977861751809
658.01,48476907,9.5359,4.718571887194721 d,4.7200714220927065 d,0.001674933,0.0013083,0.002162975,0.001051221,0.000934492,0.001041513,1.1145231847891688
659.01,48476908,10.245,4.718571887194721 d,4.7200714220927065 d,0.001674933,0.0013083,0.002162975,0.001051221,0.000934492,0.001041513,1.1145231847891688
681.01,410450228,10.6845,15.203570267008699 d,21.913883519248856 d,0.00569928,0.000563283,0.003423263,0.00133758,0.001402278,0.001336969,0.953426496030031
699.01,149302744,9.8106,13.63231320131413 d,10.91320670367946 d,0.00059809,0.00026629,0.002050121,0.000913951,0.000855795,0.000914734,1.0688704654736239
721.01,38571020,10.1805,11.934143624404449 d,12.242315746686874 d,0.00054415,0.000327406,0.002597244,0.001044213,0.00106338,0.001042613,0.9804707630386127
738.01,260304800,12.7474,3.4405940293969377 d,3.441702173532688 d,0.007121129,0.007287134,0.014797456,0.004672398,0.006101866,0.004502724,0.737925742715425
739.01,279425357,11.6049,9.015751305076499 d,8.471030183392289 d,0.00374523,0.002367417,0.00634473,0.002642856,0.002664073,0.002613905,0.9811686841914619
777.01,334305570,9.3712,8.300480017995799 d,8.30221905332148 d,0.002199572,0.002276882,0.001708359,0.000828298,0.000703189,0.000766284,1.0897269439652781
784.01,460984940,8.7537,3.8715233959609585 d,2.797029672961295 d,0.000478453,0.000345546,0.001466578,0.00060268,0.000693176,0.000599065,0.8642321719159347
823.01,158978373,9.9623,13.52835274525652 d,13.532576585060257 d,0.002083206,0.001810902,0.002301752,0.001061877,0.00096601,0.001034903,1.0713170671111065
