System,Format,Type,Magnitude,Period,Time,Duration,Depth,Ratio
1000.01,20sec,PC,9.604,2.171317131713171,2229.6343682845027,0.1,0.0004864272398559888,1.1807537517124351
50365310,120sec, ,,2.17117008730576,2229.6386975326077,0.1,0.0005743507883950833,
1001.01,20sec,PC,9.42344,1.9314431443144315,2230.749926380566,0.15,0.0011173799499794661,1.0232489501358513
88863718,120sec, ,,1.9312504607796515,2230.753747596885,0.15,0.0011433578607193387,
1002.01,20sec,PC,9.299501,1.8670867086708671,2202.2867635045363,0.1,0.0012490900192355513,1.0227607083010297
124709665,120sec, ,,1.8667109285185943,2202.2923422280046,0.1,0.0012775201928050992,
1004.01,20sec,PC,9.1355,3.575457545754575,2229.5678508623478,0.15,0.00034681575759327044,1.189180297109172
238597883,120sec, ,,3.5733547702204964,2229.571439566446,0.15,0.0004124264656569079,
1006.01,20sec,PC,9.2386,2.504800480048005,2229.9846723366036,0.15,0.001826820319673234,1.0220122693279836
156115721,120sec, ,,2.504356038664173,2229.9852064846336,0.15,0.0018670327805637142,
1007.01,20sec,PC,8.87759,6.998049804980497,2233.9361501216235,0.15,0.0022648451213731903,0.9890815180871649
65212867,120sec, ,,6.998748434699456,2233.93381295105,0.15,0.0022401164508801044,
1009.01,20sec,PC,8.4331,0.8919891989198919,2229.5286129381975,0.33,0.0006609347751592219,1.107960853620608
107782586,120sec, ,,0.9828107473213569,2229.271275739465,0.33,0.0007322898576729562,
1010.01,20sec,PC,8.45086,0.6501650165016502,2229.183152237867,0.33,0.0005797352029696214,1.9026547128937887
139853601,120sec, ,,0.6804220025962993,2229.566463318542,0.1,0.0011030359161605873,
1011.01,20sec,PC,8.2388,2.4696969696969697,2231.134281029967,0.1,0.00018998842367013314,1.052049233664688
114018671,120sec, ,,2.469710607424379,2231.135648736088,0.1,0.00019987717552732564,
1012.01,20sec,PC,8.12718,0.8841884188418843,2229.523629025417,0.05,0.001341946982997718,1.0080298028814363
427508467,120sec, ,,0.8840119385475901,2229.524764334326,0.05,0.001352722552748528,
1014.01,20sec,PC,7.678,1.408790879087909,2201.9751400417254,0.33,0.002416173652394339,3.3136463539491823
96246348,120sec, ,,1.4089600679239842,2201.970718780794,0.33,0.00800634501376458,
1015.01,20sec,PC,10.7069,1.3717371737173718,2230.413942947476,0.1,0.000985432811305818,1.030340619844763
155044736,120sec, ,,1.3715675798002844,2230.414058691424,0.1,0.001015331453616204,
1022.01,20sec,PC,8.72924,3.7353735373537353,2992.434764016654,0.33,0.0009041100101768833,1.0149595595546086
47384844,120sec, ,,3.7055527334911713,2992.619651776501,0.33,0.0009176350977180422,
1026.01,20sec,PC,9.9138,14.264476447644766,2237.4625472720268,0.2,0.0009958716840318743,0.9912883314195104
388624270,120sec, ,,14.268132438806436,2237.4661360604096,0.2,0.0009871959799718946,
1031.01,20sec,PC,9.7318,5.652815911654172,2282.2291819133325,0.1,0.0011264807614645505,1.0972340910142508
304021498,120sec, ,,5.65046504650465,2282.238510495478,0.1,0.0012360130943505972,
1032.01,20sec,PC,9.7611,5.664116411641165,2283.831508294809,0.15,0.0029974781158982025,1.082025694697415
146589986,120sec, ,,5.6652457099895415,2283.8291746331806,0.15,0.003243348340695051,
