TOI,TIC,Magnitude,20 Period,120 Period,20 Depth,20 Error,120 Depth,120 Error
1226.01,177115354,11.5514,3.959645965,3.509415163,0.000624131,8.607973692,0.000382174,6.211582086
205.01,281575427,9.4525,3.382071308,4.267776778,0.000159033,10.54183077,0.000150342,5.143780655
1706.01,230377505,10.486,2.484942959,3.672967297,0.000296243,11.15202885,0.000347509,4.969863785
1034.01,400595342,9.8174,4.73546198,3.633963396,0.000764796,3.17316881,0.000352676,3.444590546
874.01,232025086,8.7542,5.909840984,5.290977995,0.000243407,5.050695188,0.00016415,3.34900669
721.01,38571020,10.1805,11.9320432,12.39624653,0.000542966,4.885422618,0.000324312,3.299185184
699.01,149302744,9.8106,13.63261326,11.01612729,0.000598229,3.681692296,0.000265947,3.225514689
1083.01,322270620,12.0936,16.16265744,12.99489949,0.001450817,5.509648938,0.001241741,3.059042776
1269.01,198241702,10.9897,4.256075608,4.258559092,0.000699843,5.78178454,0.000635971,2.686074502
722.01,38509907,11.9755,8.923835318,15.31953195,0.002461654,6.151395585,0.001186275,2.672151815
201.02,350618622,8.5822,6.258925893,3.400571335,0.000307906,3.47421325,0.000205774,2.483939059
2104.02,367630162,10.0556,5.902040204,5.901628957,0.000381648,6.438874766,0.000451841,2.35016256
1918.01,308425348,12.2876,2.898916759,2.865586559,0.003304822,4.906470019,0.002872879,2.305153605
755.01,73228647,9.4628,2.539737232,2.53990399,0.000450395,3.986636292,0.000363043,2.249635963
2328.01,394287035,11.584,17.55835584,21.39948725,0.010044101,0.552447647,0.001126925,2.207734865
2096.01,142748283,13.4764,4.291179118,4.394316007,0.004946038,4.232193203,0.005604564,2.207030703
402.01,120896927,8.3157,4.757275728,4.757364305,0.000417256,2.355366832,0.000206408,2.197880159
1011.01,114018671,8.2388,2.46969697,2.469710607,0.000188571,4.935039933,0.000195813,2.182517225
1187.01,372757221,9.9002,2.914341434,2.948589143,0.001312949,1.878282572,0.000542512,2.126466963
534.01,281909674,14.4266,4.037770316,4.033753375,0.012370735,5.304310768,0.011574965,2.085081175
1056.01,421894914,9.6663,5.307230723,5.308250042,0.00045323,4.376627999,0.000382105,2.009731504
1548.01,440100539,8.7282,10.21163147,11.74287429,0.000264461,4.411443131,0.000304466,1.993264225
1669.01,428679607,9.52906,2.680318032,2.686082807,0.000385265,4.563211018,0.000409226,1.864912898
1735.01,365673804,8.3412,12.11536154,10.37314875,0.000235687,4.142107303,0.000264103,1.824222756
841.01,238932509,12.5528,3.493549355,3.492391768,0.011043277,1.114943885,0.024203977,1.802255385
1214.01,451606970,10.0329,17.32141099,19.1789679,0.000565038,4.184068637,0.000616531,1.794788399
784.01,460984940,8.7537,3.871823456,2.797329733,0.000477856,3.419159307,0.00034141,1.778289269
396.02,178155732,5.9053,3.583258326,3.584162242,0.000221174,1.416274615,0.000133653,1.694038582
1255.01,237222864,9.1416,14.59312947,10.29777978,0.00107503,1.387260084,0.000526956,1.682413506
681.01,410450228,10.6845,15.20447045,20.49549984,0.00569928,0.607595688,0.00081347,1.651896953
535.01,280210963,14.7971,2.830483048,2.827451422,0.025142541,4.191423224,0.026723492,1.638715578
210.01,141608198,12.5395,12.27156636,9.01260126,0.003399345,3.65934362,0.002942274,1.636422762
1522.01,367102581,9.39575,2.980648065,2.981311497,0.000512182,3.46813709,0.000571075,1.612981548
1004.01,238597883,9.1355,3.575457546,3.57335477,0.000421003,3.474678845,0.000411949,1.602847407
2056.01,396356111,7.3307,11.15781578,11.35695914,0.000194283,3.17877971,0.000180028,1.601290365
1246.01,230127302,11.1802,18.64266427,18.64453047,0.001552974,2.99658612,0.001302163,1.557380178
2050.01,316468545,9.70362,15.35658566,13.61661094,0.000989247,2.195014647,0.000577372,1.542790126
1797.01,368435330,8.6259,3.644876144,3.645664566,0.000878446,1.338629102,0.000443282,1.513638551
1505.01,331034236,9.27116,3.431478566,3.421392139,0.000454094,4.340306952,0.000549656,1.442410331
2184.01,176956893,11.4057,6.914191419,6.912042194,0.001813231,2.756587027,0.001532795,1.365200813
2005.01,147660886,9.4916,17.30288029,17.3091687,0.002685418,0.679425119,0.000595839,1.346112812
548.01,42821097,13.1861,3.901140114,3.899211051,0.005455772,3.459997309,0.005815145,1.330967202
122.01,231702397,13.084,5.069306931,5.077539437,0.004604407,4.699249573,0.005172399,1.29944453
1933.01,172598832,12.941,3.263426343,3.263500562,0.004424948,3.39166978,0.004851518,1.297863592
220.01,150098860,9.6878,10.67611761,10.71555531,0.000836644,2.354034799,0.000660401,1.277681255
328.01,139357541,12.7703,4.47839784,4.379546573,0.003652639,3.60167475,0.004520178,1.266538542
283.01,382626661,9.6768,10.4700529,17.62271227,0.000445582,4.56013473,0.000701391,1.247134025
1432.01,256783784,9.4653,8.859194155,6.00540054,0.001149737,1.612110104,0.000711039,1.239452714
901.01,214361331,9.6877,3.228322832,3.243421642,0.001108339,1.969550205,0.000925287,1.234102994
1911.01,44745133,12.5757,7.836271678,7.832733273,0.00424059,2.68882191,0.004294195,1.194291519
1736.01,408618999,8.3302,7.076057606,7.074813647,0.000522346,2.004138623,0.000423469,1.193026222
148.01,393940766,11.7835,4.870387039,6.201604994,0.004345608,1.56299898,0.00303246,1.173023336
825.01,220029715,12.4284,3.185418542,3.186505104,0.004240701,2.3852734,0.004059491,1.146504239
125.01,52368076,10.1985,4.651965197,4.653427674,0.000868916,2.852417466,0.000903403,1.145551855
601.01,141363913,9.9223,3.477947795,3.477618734,0.001016301,2.351256895,0.000980019,1.137773488
2179.01,237913194,11.4864,15.16741674,7.583241447,0.006982187,0.725436206,0.003495613,1.129671136
537.01,234112540,13.4831,4.04350435,4.036517648,0.011421972,2.233622378,0.011940018,1.123424364
533.01,309791156,10.9621,19.57680768,19.57603938,0.001511909,2.505714099,0.00158895,1.105780645
763.01,178819686,9.5275,8.405252159,5.605610561,0.000642802,2.701076411,0.000707214,1.105507964
115.01,281541555,13.0417,4.743624362,4.742903746,0.010724479,1.760443362,0.009376461,1.099383652
233.01,415969908,11.3018,11.67071707,11.66730597,0.002154731,2.614208446,0.001970018,1.098691822
739.01,279425357,11.6049,9.018451845,9.014438865,0.003758789,1.592315901,0.002367417,1.066412971
437.01,32499655,13.5452,2.744674467,2.744218481,0.010618421,2.265468473,0.011767922,1.044797505
