toi,tid,type,Mid,Period,Duartion,Depth,Radius,Mag,st_rad
1000.01,50365310,PC,2459229.63,2.1713484,2.0172196,656.8860989,5.8181633,9.604,2.16986
1001.01,88863718,PC,2459987.949,1.9316462,3.166,1286,11.2154,9.42344,2.01
1002.01,124709665,PC,2459224.688,1.8675574,1.408,1500,23.7529,9.299501,5.73
1004.01,238597883,PC,2459987.047,3.5730141,3.37,755,11.3113,9.1355,2.15
1006.01,156115721,PC,2459229.985,2.5047918,4.3797563,2270.540219,8.6950898,9.2386,1.53429
1007.01,65212867,PC,2459247.931,6.9989206,3.953,2840,14.7752,8.87759,2.7
1009.01,107782586,PC,2459252.751,1.9600296,1.842,2100,,8.4331,
1010.01,139853601,PC,2459228.878,0.6808702,2.4634563,1507.800689,5.9115908,8.45086,1
1011.01,114018671,PC,2459984.628,2.4704981,2.191,250,1.44656,8.2388,0.94
1012.01,427508467,PC,2459252.51,0.884182,1.621,1890,24.8132,8.12718,2.72
1013.01,97700520,PC,2459232.248,5.4255548,3.9637474,14939.63422,,7.6095,
1014.01,96246348,PC,2459985.657,1.4095041,1.125,3846,,7.678,
1015.01,155044736,PC,2459963.61,1.3737272,2.4737695,1263.227872,31.8858022,10.7069,6.7996101
1019.01,341420329,PC,2459232.447,5.2340964,3.6909047,20542.29367,24.087882,10.6348,1.56203
1022.01,47384844,PC,2458547.448,3.09574,4.475,380,3.4262,8.72924,1.41
1025.01,297967252,PC,2459997.717,9.6837739,2.379,4765,,5.5324,
1026.01,388624270,PC,2459237.46,14.2694372,6.9350494,1246.392187,3.7255381,9.9138,0.853898
1027.01,20318757,PC,2460037.869,3.2834565,1.537,1558,2.87648,10.2103,0.68
1031.01,304021498,PC,2459282.24,5.6496834,2.5612882,1194.333856,6.7892616,9.7318,1.9220001
1032.01,146589986,PC,2459283.83,5.664473,3.6459666,3449.581455,14.3057012,9.7611,2.3383701
1033.01,149601557,PC,2459179.545,29.0162503,6.507,1440,9.84223,10.0163,2.01
1034.01,400595342,PC,2459283.338,3.6344692,2.5339234,628.699015,4.2048368,9.8174,1.60776
1035.01,361413119,PC,2459311.169,6.0742782,2.5468064,6039.990948,31.3717884,10.1126,2.4303801
1036.01,146172354,PC,2460037.172,3.7795212,2.952,2761,5.98375,10.2855,1.18
1037.01,363260203,PC,2459308.306,1.2013272,3.4475374,427.3925883,3.7397226,9.0211,1.7416101
1039.01,461867584,PC,2460031.217,4.420125,3.956,2466,,8.5483,
1041.01,385624852,PC,2459261.801,8.30792,3.228,8350,43.1068,8.0981,3.05
1042.01,360286627,PC,2459988.63,0.7581018,1.078,780,10.0744,9.718,3.51
1043.01,90448944,PC,2459985.77,1.4415577,2.349,507,3.61078,9.5719,1.52
1044.01,463402815,PC,2460037.195,1.0085089,1.642,3051,,10.0031,
1052.01,317060587,PC,2458332.941,9.139804,3.0912936,358.4157801,3.0629855,9.0197,1.58
1055.01,320004517,PC,2458661.063,17.4712881,4.297932,1219.549615,3.437103,8.0888,0.974669
1056.01,421894914,PC,2458326.06,5.3079888,3.1395198,395.4716052,2.899717,9.6663,1.36963
1057.01,323132914,PC,2458607.345,51.1710414,6.4793585,864.8547045,2.7958807,9.4091,0.943356
1058.01,31553893,PC,2458663.024,11.1296402,7.1068241,968.6119325,12.9783824,9.3781,3.4475601
1059.01,380783252,PC,2459378.714,9.4496506,2.021,19750,17.0216,9.7825,0.94
1060.01,101230735,PC,2458653.968,2.068559,0.9982308,581.9546407,2.8451407,9.6652,1.13906
1062.01,299799658,PC,2458325.427,4.1150133,1.1960092,524.8418785,2.0840072,9.478,0.887336
1063.01,406976746,PC,2459374.315,10.0665634,1.981,640,2.09966,9.0689,0.79
1064.01,79748331,PC,2458656.668,6.4438568,1.9034071,1067.321975,2.4800254,10.0059,0.737189
1064.02,79748331,PC,2458664.491,12.2264881,2.1689136,1245.05985,2.5664499,10.0059,0.737189
1072.01,140830390,PC,2459211.732,12.8379689,9.8464123,10539.01928,25.4886382,11.7106,2.4494
1074.01,327301957,PC,2458662.651,13.9427597,3.7732511,1351.487637,2.8501548,10.6339,0.741671
1075.01,351601843,PC,2458654.25,0.6047427,0.988221,912.4406978,1.8764454,11.1186,0.653189
1077.01,369960846,PC,2459362.468,1.6062566,1.975922,16736.45724,12.6311763,13.461,0.984326
1079.01,379240073,PC,2458656.383,3.164147,1.598864,7491.851204,13.276169,13.1284,1.48759
1080.01,161032923,PC,2458654.06,3.965347,0.987454,4770.26147,2.034434,12.7067,0.284
1081.01,253728991,PC,2458654.026,2.98278,3.109528,6136.231662,11.467011,11.5247,1.23975
1082.01,261108236,PC,2459966.526,16.3470117,3.2941073,2074.116252,2.9277172,11.8835,0.649613
1083.01,322270620,PC,2458627.916,12.9802713,2.828721,2883.071721,3.2077972,12.0936,0.491323
1086.01,468148930,PC,2458655.293,3.7178739,5.4901064,4872.873933,14.7464854,12.2303,2.0840001
1091.01,193413306,PC,2459359.555,1.725841,3.674,2710,15.0024,9.3529,2.39
1095.01,375223080,PC,2459387.422,1.4821401,1.779,1830,11.9167,10.4291,2.66
1096.01,375225453,PC,2459307.936,0.9209526,1.8602735,360.8801529,5.7349089,10.11,2.8908899
1097.01,360630575,PC,2459376.411,9.1885056,2.482,420,2.17371,8.7215,0.98
1099.01,290348383,PC,2458658.79,6.4409822,1.8342508,827.0970109,2.4623926,7.3661,0.800152
